vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
1231,20260218 17:31,41.85539779663086,-87.64656829833984,178,8959,8,79th,10384,False,88356285,273991299,8 -728,,1,N/A,62040,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1345,20260218 17:31,41.94980239868164,-87.64917755126953,91,9368,8,79th,55,False,88356297,273991394,SH  -752,,1,N/A,63000,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7973,20260218 17:31,41.93956654866536,-87.64926181369357,171,9368,8,79th,4183,False,88356296,273991393,SH  -754,,1,N/A,62610,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8422,20260218 17:31,41.910583149303086,-87.64834594726562,179,9368,8,79th,14766,False,88356293,273991391,8 -729,,1,N/A,61800,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1341,20260218 17:31,41.9036070505778,-87.65093400743272,266,9368,8,79th,18066,False,88356346,273991303,SH  -753,,1,N/A,61050,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8559,20260218 17:31,41.90356465389854,-87.65289346795333,269,9368,8,79th,18601,False,88356290,273991389,8 -722,,1,N/A,60630,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8531,20260218 17:31,41.901029887952305,-87.65669250488281,180,9368,8,79th,21130,False,88356287,273991300,SH  -751,,1,N/A,59880,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8932,20260218 17:31,41.89006580005992,-87.64763641357422,180,9368,8,79th,26234,False,88356284,273991387,8 -719,,1,N/A,58980,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
7975,20260218 17:31,41.86536777883336,-87.64685821533203,179,9368,8,79th,35263,False,88356282,273991386,8 -715,,1,N/A,58380,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8450,20260218 17:31,41.855903856682055,-87.6465835571289,179,9368,8,79th,38720,False,88356276,273991433,8 -713,,1,N/A,57780,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8457,20260218 17:31,41.83660063310103,-87.64622553045099,180,9368,8,79th,47019,False,88356278,273991384,8 -712,,1,N/A,57180,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8137,20260218 17:31,41.79664150636587,-87.64522199488398,178,9368,8,79th,61610,False,88356276,273991435,8 -710,,1,N/A,56580,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
